smiles,smiles_masked
CC(C)c1nc(CC(=O)N[C@H](C)c2cccc[nH+]2)cs1,<s>CC(C<mask><mask>1<mask>(CC(=O)N[C<mask>H](<mask>)c<mask>cccc[nH+]2)cs1</s>
CC1CCN(C(=O)CSc2nc(=O)n3ccccc3n2)CC1,<s>CC1CCN(C(=O)<mask>2nc<mask>O)<mask>3ccccc3n2)CC<mask></s>
COc1ccc(-n2c(SCCOc3cccc(C)c3)nnc2-c2ccncc2)cc1,<s>COc1ccc<mask>n<mask>c(SCCOc3cccc(C)c3)nnc2<mask>c2<mask><mask>)cc1</s>
COCCNC(=O)c1ccc2c(c1)CCCN2C(=O)c1ccc(Cl)cc1,<s>COCCNC(=O<mask>c<mask>ccc2c<mask>c1)CCCN2C(=O)c1ccc(Cl<mask>cc<mask></s>
N#Cc1ccccc1NC(=O)[C@H]1Cc2nc[nH]c2C[NH2+]1,<s><mask>#Cc1ccccc1NC(=O<mask>C@<mask>]1Cc2nc<mask>nH]<mask>2C[NH2+]1</s>
C[C@H]1Oc2c(C(=O)Nc3ccc(N4CCCC4=O)cc3)cccc2[C@H]1C,<s>C[C@<mask>]<mask><mask>2c(C<mask>O)<mask>3ccc(<mask>4CCCC4=O<mask>cc3)cccc2[C@H]1C</s>
CC(C)c1ccc(S(=O)(=O)N2CCN(Cn3c(=O)n(C)c4ccccc43)CC2)cc1,<s>CC(<mask>)<mask>1ccc(S(=O)(=O)N2CCN(Cn3c(=<mask><mask>n(C<mask>c4ccccc43)CC<mask>)<mask>1</s>
Cc1ccc(F)c(NC(=O)N[C@@H](C)[C@@H](C)CO)c1,<s><mask>1ccc(F)c(NC(=<mask>)N<mask>C<mask><mask>](C)[<mask>@@H](C)CO)c1</s>
C[C@H](CNC(=O)[C@@H](C)Sc1nc2ccccc2c(=O)n1C)c1ccccc1,<s>C[C@H](<mask>(=O)[C@@H](C)Sc1nc2<mask>2c<mask>O)<mask><mask><mask>)c1ccccc1</s>
COc1ccc(C[NH+]2CCC[C@H]2c2cnn(C)c2)cc1F,<s>COc1ccc(<mask><mask>NH+]2CCC[C@<mask><mask>2c2cnn(C)<mask>2)cc1F</s>
Cn1cc([C@@H]2CCCN2C(=O)[C@@H]2C[C@@H]2c2cccc(Cl)c2)cn1,<s>Cn1cc([C@@H]2CCCN2C(=O)[C@@<mask>]2C[C@@H]2<mask>2<mask><mask>Cl)<mask><mask>)<mask>1</s>
C[C@@H]1C[NH+](Cc2cccc(CNC(=O)C[C@H](O)c3ccccc3)c2)CCO1,<s>C[C@@H<mask>1C[NH+](Cc2cccc(<mask>(=<mask>)C<mask>C@H<mask>O)c<mask>ccccc3)c2)<mask>1</s>
Cc1cc(C(=O)N2CCC3(CCCO3)CC2)c2cnn(C(C)C)c2n1,<s><mask>1cc(C(=O)N2<mask>3(CCCO3<mask>CC2)c2cnn(C<mask>C)<mask>)<mask>2n1</s>
Cn1ncc(NC[C@@H]2CCO[C@H]2c2ccccc2)c(Cl)c1=O,<s>Cn1ncc(NC<mask><mask>@@H]<mask><mask>[C@<mask>]2c2ccccc2)c(<mask>)c1=O</s>
Cc1nc(C[NH2+][C@](C)(C(=O)[O-])C(F)(F)F)sc1C,<s>Cc1nc(C[NH2<mask>C<mask>C)(C(=O)[O-])<mask>(F<mask>F)F)<mask>1<mask></s>
C[C@H]([NH2+]CC1(C)CCCC1)c1ccc(F)cn1,<s><mask>[<mask>@H]([<mask>2+]CC1(C)CCCC1<mask><mask>1ccc(F)cn1</s>
CCN[C@H]1CCC[C@H]1N(C)Cc1cccc(C)n1,<s>CCN[C@H]1<mask>[C@H]<mask>N<mask>C<mask>Cc1cccc(C<mask>n1</s>
CC(C)c1cc(Br)ccc1OCC(=O)Nc1ccccc1C(=O)N1CCCCCC1,<s>CC(C)c1cc<mask>Br)ccc1OCC(=O<mask>Nc1ccccc1<mask>(=<mask>)<mask>1CCCCCC1</s>
Cn1c(NCCCOC2CCCCC2)nc2c1c(=O)[nH]c(=O)n2C,<s><mask>1c(NCCCOC2CCCCC2)nc2c1c<mask><mask>)[nH]c(=O<mask>n2<mask></s>
Cc1ccc(-c2cc(C(=O)Nc3cccc(C(F)(F)F)c3)no2)cc1C,<s>Cc1ccc(-c<mask>cc<mask>C(=O)<mask>3cccc(C(<mask>)(F)<mask>)c3)no2)<mask>1C</s>
O=C(C[S@@](=O)c1cccc(F)c1)c1ccc(Cl)c(Cl)c1,<s>O=C(C[S@@](=O<mask>c<mask>cccc(F<mask>c<mask><mask>c1<mask>(Cl)c(Cl)c1</s>
CC[C@H]1C[NH2+][C@H](CC)CN1C(=O)N1CCC[C@H](C)C1,<s>CC[C@H]1C[NH2+][C@<mask>](CC)CN1C<mask><mask>)N1CCC<mask>C@H<mask>C<mask><mask>1</s>
Cn1ncc2c(=O)n(Cc3ccc(C(C)(C)C)cc3)cnc21,<s>Cn1ncc<mask>c(=O<mask><mask><mask>Cc3ccc(C(C)(C)C)cc<mask>)cnc21</s>
CCn1cc(C(=O)N(C)Cc2c[nH+]c3ccccn23)c(C)n1,<s>CCn1cc<mask>C(=<mask>)N(<mask>)Cc2c[nH<mask>c3ccccn23)<mask>(C)n1</s>
CCc1ccc(OCc2nnc(SCC(=O)Nc3ccccc3C)n2CC)cc1,<s>CCc1ccc(OCc<mask><mask>(SCC(=O)Nc3ccccc3C)n2CC)<mask><mask></s>
CN(C)c1nc(N)nc(CN(CCC#N)CCC(F)(F)F)[nH+]1,<s>CN(C)c1nc(<mask>)nc(CN(CCC<mask>N)<mask>(F)(F<mask><mask>)[nH+]1</s>
O=C(CCc1ccccc1)N1CCC[NH+](Cc2c[nH]nc2-c2cccnc2)CC1,<s>O=C<mask>CCc1<mask>1)<mask>1CCC[NH+](Cc<mask>c[<mask>]nc2-c2<mask>2)CC1</s>
CCc1nn(C)cc1C[NH2+]C[C@H]1CC[NH+](C2CC2)C1,<s><mask>1nn(C<mask>cc<mask>C<mask>NH<mask>+]C[C@H]1CC[NH+](C2CC2)C<mask></s>
Cc1[nH+]cn([C@@H]2CCC[C@](N)(C(N)=O)C2)c1C,<s>Cc<mask>[nH<mask>cn([C<mask>H]2CCC[C@](N<mask>C(N)=<mask>)C<mask>)c1C</s>
CC(C)C[C@@H]([NH2+][C@@H]1CCCC[C@@H]1[C@@H]1CCCCN1)C(=O)[O-],<s><mask>(C)C[<mask>@@<mask>]([NH2+][C@@H]1<mask>[C@@H]1[C@@H]<mask><mask>1)C<mask>O)[<mask>-]</s>
CN1CC2(CCN(C(=O)NC3CCCC3)CC2)C[C@@H](c2ccccc2)C1=O,<s>CN<mask>CC2(<mask>(C<mask>O)NC3CCCC3)CC2)C[<mask>@@H](c2ccccc<mask>)<mask>1=O</s>
Cc1ccc(Cl)cc1N1CCN(C(=O)C2(c3cc(-c4ccccc4)on3)CC2)CC1,<s>Cc1<mask>(<mask>)cc<mask>N1CCN(C(=O)C2<mask>c3cc(-c4<mask>4)on3<mask><mask>2)CC1</s>
Cc1nc(CN2CCN(C)C[C@@H]2C)nc2ccccc12,<s>Cc<mask>nc(<mask>2CCN(C)C[C@@H]2C)nc<mask><mask>12</s>
Cc1cnc(C(=O)Nc2nccs2)cn1,<s>Cc1<mask>(C(=O)Nc<mask>nccs2<mask>cn1</s>
CC[C@@H](C)C(=O)[C@@H]1CCCC(=O)C1,<s>CC[<mask><mask>H](C<mask>C<mask>O)[C@@H]1CCCC(=O)C1</s>
CCC[C@@H]1C[C@@H]1NC(=O)Cc1csc(COc2ccc(Cl)cc2)n1,<s>CCC[C@@H]1C[C@@H<mask>1<mask>(=<mask>)Cc1csc(COc2<mask>(<mask>)cc2)<mask>1</s>
C[C@@H](CNc1ncccc1C#N)Sc1ccccc1,<s>C[C@@H](CNc1ncccc<mask>C#N<mask><mask>1ccccc1</s>
CCOc1cc(F)ccc1NC(=O)C1CCC(C[NH3+])CC1,<s>CCOc<mask>cc(F)ccc1NC<mask>O)C1CCC(C[<mask><mask>+])CC1</s>
COc1ccc(F)cc1NC(=O)c1cc2c([nH]c1=O)CCCC2,<s>COc1ccc<mask>F)<mask>1NC(=O)c1cc2c([nH<mask>c1=<mask><mask>CCCC2</s>
Cc1ccc(F)cc1S(=O)(=O)N1CC[NH+](C)[C@@]2(CCNC(=O)CC2)C1,<s>Cc1ccc(F<mask>cc<mask>S(=<mask>)(=O<mask>N1<mask><mask>NH+](C)[C@@]2(CCNC(=O)CC2<mask>C1</s>
NCCOCC(=O)Nc1ccc(-c2nccs2)cc1,<s><mask><mask><mask>)Nc1ccc(-c2nccs2)cc1</s>
C[NH+](C)[C@@H](CNC(=O)CCCn1ccnn1)c1ccccc1,<s>C[NH+](C)[C@@H](CNC(=O<mask><mask>1ccnn1)<mask>1ccccc<mask></s>
CC(C)COC[C@@H](NC(=O)CCn1cc[nH+]c1C(C)C)c1ccco1,<s>CC<mask>C)COC[C<mask>H<mask>NC(=O)CCn1cc[nH+]c1<mask>(C)C)c1<mask><mask></s>
C=CC[C@]1(CO)CCCN(S(=O)(=O)c2cc(C)ccc2OC)C1,<s>C=<mask>[C@]1(CO<mask>CCCN(S(=<mask>)(=O)c2cc<mask><mask>)ccc2OC<mask>C1</s>
CC1(C)CCC(C(=O)O)([C@H]2CCOC3(CCC3)C2)CC1,<s>CC1(C)CCC(<mask><mask>O)O)([C@H]2<mask>3<mask>CCC3)C<mask>)CC1</s>
CCOC(CNC(=O)[C@H]1CC=CC[C@@H]1C(=O)O)OCC,<s>CCOC(CNC<mask>O)[<mask>@H]1CC=<mask>[C@@H]1C<mask>O)O<mask>OCC</s>
Cc1cc([O-])c(C2=NN=C3C(=O)N(CCCO)[C@H](c4ccc(F)cc4)[C@H]32)cc1Cl,<s>Cc1cc<mask><mask>-])c(C<mask><mask>NN=C<mask>C(=<mask>)N(CCCO)[C@H](c4ccc(F)cc<mask>)[C@H]32<mask><mask>1Cl</s>
C[C@H](CNC(=O)Nc1ccc(F)cc1OCC1CC1)CN1CCOCC1,<s>C[C@H](CNC(=O<mask>Nc1ccc(F)cc1OCC<mask>CC1)<mask>1<mask><mask></s>
O=C(CN1CCOCC1)Nc1ccc(NC(=O)c2ccccc2-c2ccc(C(F)(F)F)cc2)cc1,<s>O=C(CN1CCOCC<mask>)Nc1ccc(NC(=O)c<mask><mask>2-c2ccc<mask>C(<mask><mask>F)F)cc2<mask>cc1</s>
C[C@@H](NC(=O)c1cccc(C#N)c1)c1ccc(F)c(F)c1,<s>C<mask><mask>@@H](NC(=O)c1cccc(<mask>#N<mask>c<mask>)c1ccc(F)c(F)<mask>1</s>
COc1ccccc1CNC(=O)CCNC(=O)c1cc2c(s1)SCC2,<s>COc1ccccc1CNC(=O)<mask>(=<mask>)c<mask>cc2c(s<mask>)SCC2</s>
CCOC(=O)Nc1nc2c(s1)CN(C(=O)[C@@H]1CC(=O)N(c3ccc(Cl)cc3)C1)CC2,<s>CCOC<mask>O)Nc<mask>nc2c(s1)CN<mask>C(=<mask>)[C@@H]1CC(=O)N(c3ccc(Cl)<mask><mask>)C<mask>)CC<mask></s>
COc1ccc(S(=O)(=O)N2CCCCCC2)cc1NC(=O)CCc1ccco1,<s>COc<mask>ccc(S<mask>O)(=O)N2CCCCCC2)<mask><mask>NC(=O)CCc1ccco<mask></s>
CC(C)C[C@H](NC(=O)c1ccc(Cl)cc1)C(=O)NC1CCN(C(=O)c2ccoc2)CC1,<s>CC(C)C<mask>C@H](NC<mask>O)c1ccc<mask>Cl)cc1)C(=O)<mask><mask>CCN(<mask>(=O)c2<mask>2)CC<mask></s>
C[NH+](C)C[C@H](O)C[NH2+]Cc1ccc(Br)s1,<s>C[NH+](C)C[C@<mask><mask>O<mask>C<mask>NH2+]Cc1<mask>(Br)s1</s>
CCOC(=O)N1CCc2nc(NC(=O)C3CCN(S(=O)(=O)c4cccs4)CC3)sc2C1,<s>CCOC(=O)N1<mask>2nc<mask><mask>(=O)C3CCN(S(=O<mask>O)c4<mask>4)CC3<mask>sc<mask>C1</s>
CC(C)CCC(=O)NCc1cccc(C(=O)NCc2ccco2)c1,<s>CC<mask>C)CCC(=O)NCc1cccc(<mask>(=<mask>)NCc<mask>ccco2)c1</s>
C[C@H]1Cc2ccccc2[NH+]([C@@H](C)[C@@H](C)C[NH2+]C(C)(C)C)C1,<s><mask>[C@H<mask>1<mask>2ccccc2[NH+]([C@@<mask>](C)[<mask>@@H](C<mask>C[NH2+]C<mask>C)(C)C)<mask>1</s>
CNC(=O)c1ccc(CNc2n[nH+]c(C)c(C)c2C#N)cc1,<s>CNC<mask>O)c1ccc(CNc2n[nH<mask><mask>(C<mask>c(C<mask>c2C#N<mask>cc1</s>
O=C(c1ccc2c(Cl)c3c(nc2c1)CCCC3)N(Cc1ccco1)C1CCCCC1,<s>O=C(c1ccc2c(Cl)<mask>3<mask>(nc2c1<mask>CCCC3<mask><mask>(Cc1ccco1)<mask>1<mask>1</s>
CO[C@@H](C)C(=O)N1CCN(C(=O)c2ccc(C)cc2)CC1,<s>CO<mask>C@@<mask>](<mask>)<mask><mask>O)N1CCN(C<mask>O)c2ccc(C)cc2)CC1</s>
CCC(CC)(CO)NC(=O)Nc1ccc(Cl)cc1Cl,<s>CCC(CC<mask>CO)NC(=O)Nc1ccc(<mask><mask>cc1Cl</s>
CCCc1nn2c(=O)cc(COC(=O)c3ccccc3NC(=O)c3cccs3)nc2s1,<s><mask>1nn2c(=O<mask>cc(COC(=O)c3ccccc3NC<mask><mask>)<mask>3cccs<mask>)nc2s1</s>
CC(C)c1ccc([C@@H]2C[C@@H](c3ccccc3Cl)N3NC=[NH+]C3=N2)cc1,<s><mask>(C)c<mask>ccc([C@@<mask>]2C<mask>C@@H](<mask>3ccccc3Cl)N<mask>NC=[NH+]C3=N<mask>)cc1</s>
C[C@@H]1OCC[C@H]1C(=O)Nc1cccc(Cl)c1C(=O)[O-],<s>C[C<mask><mask>]1<mask>[C@H]1<mask>(=O)Nc1<mask>(Cl)c1<mask>(=O)[O-]</s>
COc1cc(CNC(=O)c2cccc(-n3ccc4ccccc43)c2)cc(OC)c1OC,<s>COc1cc(CNC(=O)<mask><mask>cccc(-n3ccc<mask><mask>43)c2)<mask>(OC)c1OC</s>
Oc1ccc2ccccc2c1CN1CCN(C2CCCC2)CC1,<s>Oc1ccc2ccccc2c1CN1CCN(C<mask>CCCC<mask>)<mask>1</s>
CCN1CCC(n2nccc2NC(=O)c2occc2Br)CC1,<s>CCN1CCC(<mask>2nccc<mask>NC(=O)c2<mask>2Br<mask>CC1</s>
N#Cc1ncn(Cc2cc(-c3ccccc3)no2)n1,<s>N#Cc1<mask>(<mask>2cc(-c3<mask>3)no<mask>)n1</s>
CC[NH+](C)C[C@@H]1CCN([C@@H](C)C(=O)Nc2cccc3ncccc23)C1,<s>CC[NH+](<mask>)C[C@@<mask>]1CCN([C@@<mask>](C)C(=O)<mask><mask>cccc3<mask>23)C1</s>
O=C(Cn1nc(-c2cccc(Cl)c2)ccc1=O)c1ccc(Br)cc1,<s><mask>=C(Cn1nc(-<mask><mask>cccc(Cl)c2<mask>ccc1=O)c<mask>ccc(<mask>)cc1</s>
O=S(=O)(c1ccccc1)N1CCN(Cc2cccc3cccnc23)CC1,<s>O=S(=O)(c1ccccc<mask>)N1CCN(<mask>2cccc<mask>cccnc23<mask>CC1</s>
Cc1ccc(-c2noc(-c3cccc(OC(C)C)c3)n2)nn1,<s>Cc1ccc(-<mask>2noc(-c3cccc<mask>OC(<mask><mask>C<mask>c3)n2)nn1</s>
Cc1cc(NC(=O)c2ccc(Cl)c(N3CCNC3=O)c2)n(C)n1,<s>Cc1cc(NC(=O)c2ccc(<mask>)<mask>(N<mask>CCNC3=<mask>)c<mask>)n(C)<mask>1</s>
C[C@H]([NH2+]Cc1ccccc1F)c1ccc(NC(N)=O)cc1,<s>C[C@H]([<mask><mask>+]Cc<mask>ccccc1F)c1ccc<mask>NC(N<mask>O)cc1</s>
[H]/N=c1\s[n-]c(C)c1C(=O)OCC(=O)Nc1ccc(F)c(F)c1,<s>[H<mask>N=c1\s[n-]c(<mask>)c1C(=<mask>)OCC(=<mask>)<mask>1ccc(<mask>)c(F)c<mask></s>
C[C@H](NC(=O)NCc1nnc2n1CCC2)c1ccc(Cl)c(Cl)c1,<s>C[C@<mask>](NC(=O)NCc1<mask>2n1CCC2)c<mask><mask>(Cl)<mask><mask>Cl)c1</s>
COc1cc(C[NH2+]Cc2nc(-c3cccnc3)n[n-]2)ccc1OCC(F)(F)F,<s>COc1<mask>(<mask>[NH2+]Cc<mask>nc(-c3cccnc<mask>)<mask>[n-]2)ccc1OCC(F)(F<mask>F</s>
